,date,region,confirmed,1_day_change,3_day_change,7_day_change,1_day_change_rate,3_day_change_rate,7_day_change_rate,last_day,kalman_prediction,infected_rate
59,2020-05-25,DW,177,6,34,71,3.658536585365857,25.0,71.71717171717171,170,182.0,1.1929824561403508
60,2020-05-26,DW,183,7,25,66,4.117647058823537,16.447368421052634,59.45945945945945,177,190.0,1.2421052631578948
61,2020-05-27,DW,186,6,19,63,3.3898305084745672,11.585365853658548,52.49999999999999,183,196.0,1.2842105263157895
62,2020-05-28,DW,189,3,16,59,1.6393442622950838,9.411764705882364,46.45669291338584,186,199.0,1.3052631578947367
63,2020-05-29,DW,191,3,12,53,1.6129032258064502,6.779661016949157,38.970588235294116,189,200.0,1.3263157894736843
64,2020-05-30,DW,191,2,8,39,1.0582010582010692,4.371584699453557,25.657894736842103,191,201.0,1.3403508771929826
65,2020-06-01,DW,209,0,5,27,0.0,2.6881720430107503,16.463414634146332,191,200.0,1.3403508771929826
66,2020-06-02,DW,219,18,20,39,9.424083769633507,10.582010582010582,22.941176470588243,209,209.0,1.4666666666666666
67,2020-06-03,DW,228,10,28,42,4.784688995215314,14.659685863874339,23.728813559322038,219,220.0,1.536842105263158
68,2020-06-04,DW,236,9,37,45,4.109589041095885,19.371727748691093,24.590163934426236,228,231.0,1.6
69,2020-06-05,DW,238,8,27,50,3.5087719298245723,12.91866028708133,26.881720430107524,236,242.0,1.6561403508771928
70,2020-06-06,DW,251,2,19,49,0.8474576271186418,8.675799086757996,25.92592592592593,238,248.0,1.670175438596491
71,2020-06-07,DW,0,13,23,60,5.462184873949583,10.087719298245613,31.413612565445035,251,257.0,1.7614035087719297
72,2020-05-02,KE,37,0,0,0,0.0,0.0,0.0,0,0.0,0.0
73,2020-05-03,KE,38,0,0,0,0.0,0.0,0.0,0,43.0,0.0
74,2020-05-04,KE,41,1,0,0,2.7027027027026973,0.0,0.0,38,40.0,0.26666666666666666
75,2020-05-05,KE,47,3,0,0,7.8947368421052655,0.0,0.0,41,43.0,0.28771929824561404
